room,idx,original,translation,comments
0,1,"You splash around in the water for a while but seem  to have forgotten how to swim. Unfortunately, you drown.","אתה משתכשך במים לזמן מה אבל נראה ששכחת איך לשחות. למרבה הצער, אתה טובע.",
0,2,Where do you think it could be?,איפה אתה חושב שזה יכול להיות?,
0,3,The goat is not much for conversation.,התיש לא מרבה לשוחח.,
0,4,"""Ye best be careful, young Graham.  The mystic protective spell of mine has weakened and departed.""","""כדאי לך להיזהר, גרהם הצעיר. הכישוף המיסטי המגן שלי נחלש ונעלם.""",
0,6,"You feel a stretching sensation... Oh, you're back to your original size.","אתה חש תחושת מתיחה... אה, חזרת לגודל המקורי שלך.",
0,7,You're too busy right now to rub the ring.,אתה עסוק מדי עכשיו בכדי לשפשף את הטבעת.,
0,8,There is no reason to do that now.,אין סיבה לעשות את זה עכשיו.,
0,9,You had the dagger and lost it.  Sorry.,היה לך את הפגיון ואיבדת אותו. מצטער.,
0,10,You already have it.,כבר יש לך את זה.,
0,11,"As soon as you swallow the first bite, you have this strange shrinking feeling...  It's true!  You are now no bigger than a mouse!","ברגע שאתה בולע את הביס הראשון, אתה חש תחושה מוזרה של הצטמקות... זה נכון! כעת אינך גדול יותר מעכבר!",
0,12,You need to be closer to the water if you want to swim.,אתה צריך להיות קרוב יותר למים אם אתה רוצה לשחות.,
0,13,You drain the bucket of water to quench your thirst.,אתה מרוקן את הדלי מהמים כדי להרוות את צימאונך.,
0,14,You open your mouth while swimming and quench your thirst.,אתה פותח את פיך בזמן שחייה ומרווה את צימאונך.,
0,15,"With difficulty, you fill the bucket while swimming.","במאמץ רב, אתה ממלא את הדלי בזמן שחייה.",
0,16,"Mmmm!  There's nothing like a crisp, fresh carrot.",מממ! אין כמו גזר פריך וטרי.,
0,17,VERSION 2.0F,גרסה 2.0F,
0,18,You already have a carrot.,כבר יש לך גזר.,
0,19,You already ate the carrot.,כבר אכלת את הגזר.,
0,20,The goat quickly eats the carrot and disappears.,התיש אוכל במהירות את הגזר ונעלם.,
0,21,Now is not a good time to try and eat the mushroom.,עכשיו זה לא זמן טוב לנסות לאכול את הפטרייה.,
0,22,You do not have a bowl.,אין לך קערה.,
0,23,It is not nice to tease the goat.,זה לא יאה להתגרות בתיש.,
0,24,You are not carrying it.,אתה לא נושא את זה.,
0,25,There is no reason to drop it.,אין סיבה לזרוק את זה.,
0,26,You are already swimming.,אתה כבר שוחה.,
0,27,"The water is very deep here. Without aid, it is impossible to swim under the water for any length of time.","המים עמוקים מאוד כאן. בלי עזרה, אי אפשר לשחות מתחת למים זמן רב.",
0,28,You need to be in the water to try that.,אתה צריך להיות במים כדי לנסות את זה.,
0,29,You need to be in water to swim.,אתה צריך להיות במים כדי לשחות.,
0,30,>,<,
0,32,You do not have any stew.,אין לך מרק.,
0,33,The stew is chock full of vegetables and meat.,המרק מלא בירקות ובשר.,
0,34,You already have a full bowl of stew.,כבר יש לך קערה מלאה של מרק.,
0,35,"The bowl fills with the delicious stew, but the woodcutters are unaware of it.","הקערה מתמלאת במרק הטעים, אבל חוטבי העצים לא מודעים לכך.",
0,36,"After uttering that strange word, the bowl starts quivering and immediately fills up with a delicious, hot stew.","אחרי שאמרת את המילה המוזרה הזו, הקערה מתחילה לרעוד ומיד מתמלאת במרק חם וטעים.",
0,37,"It is very inconsiderate to eat in front of these poor, starving people.  The pains of guilt set in on you.",זה מאוד לא מתחשב לאכול מול האנשים העניים והרעבים האלה. כאבי האשמה תוקפים אותך.,
0,38,You eat every bite of the delicious stew.,אתה אוכל כל ביס מהמרק הטעים.,
0,39,OK.,בסדר.,
0,40,You're welcome!,על לא דבר!,
0,42,You are dazzled by the countless supply of gold coins spilling from the magic chest.  You quickly close the chest.,אתה מוקסם מהאספקה האינסופית של מטבעות זהב הנשפכים מהתיבה הקסומה. אתה סוגר במהירות את התיבה.,
0,43,You are already carrying an endless supply of gold coins in the magic chest.,אתה כבר נושא אספקה אינסופית של מטבעות זהב בתיבה הקסומה.,
0,44,You open the chest and admire the gold coins for a moment. You then close the chest.,אתה פותח את התיבה ומתפעל ממטבעות הזהב לרגע. אחר כך אתה סוגר את התיבה.,
0,45,There is no reason to throw the dagger.,אין סיבה לזרוק את הפגיון.,
0,46,You don't want the dagger anymore.,אתה לא רוצה את הפגיון יותר.,
0,47,"You hurl the dagger at the old goat... he tries to avoid the flying dagger, but your aim is true... as the dagger strikes, he slumps to the ground... dead.","אתה זורק את הפגיון על התיש הזקן... הוא מנסה להתחמק מהפגיון המעופף, אבל אתה פוגע בכל זאת... וכשהפגיון פוגע, התיש מתמוטט לקרקע... ומת.",
0,48,You don't have any way to kill the old goat.,אין לך שום דרך להרוג את התיש הזקן.,
0,49,There is no goat here.,אין כאן תיש.,
0,50,You've already killed the goat.,כבר הרגת את התיש.,
0,51,"The old goat, trotting briskly, seems happy to be with you.","התיש הזקן, שצועד בזריזות, נראה שמח להיות איתך.",
0,52,"Seeing how much the goat likes that carrot, eating it may be hazardous to your health.","בהתחשב בכמה התיש אוהב את הגזר הזה, לאכול אותו עלול להיות מסוכן לבריאות שלך.",
0,53,You have already opened the walnut.,כבר פתחת את האגוז.,
0,54,"When you open the walnut, you discover the nut inside is pure gold!","כשאתה פותח את האגוז, אתה מגלה שהאגוז שבפנים עשוי מזהב טהור!",
0,55,Ouch!  It would be much easier if you opened the walnut first.,אאוץ'! זה יהיה הרבה יותר קל אם תפתח קודם את האגוז.,
0,56,Don't do that!  This walnut is not edible since it is pure gold.,אל תעשה את זה! האגוז הזה לא אכיל מכיוון שהוא מזהב טהור.,
0,60,"The note reads, ""Sometimes it is wise to think backwards.""","הפתק אומר, ""לפעמים חכם לחשוב מהסוף להתחלה. כוזימי סלי כסבפש יצחפו כצאסכצ.""",
0,63,Mmmm!  That Swiss cheese was as delicious as it looked.,מממ! הגבינה השוויצרית הזו היתה טעימה כמו שהיא נראתה.,
0,65,"The word on the bottom of the bowl says ""fill"".","המילה בתחתית הקערה אומרת ""מלא"".",
0,66,Even a small portion of the stew is very appetizing.,אפילו חלק קטן מהמרק מאד מעורר תיאבון.,
0,68,You throw one of your pebbles.,אתה זורק אחד מהחלוקי הנחל שלך.,
0,73,This egg will be tough to crack.,הביצה הזו תהיה קשה לפיצוח.,
0,75,"You play a lively, toe-tapping tune on the fiddle.",אתה מנגן מנגינה תוססת ונעימה על הכינור.,
0,78,You have already opened the pouch.,כבר פתחת את הארנק.,
0,79,"Cautiously, you open the pouch and see many sparkling and flashing diamonds!  Quickly, you close it again so as not to lose any.","בזהירות, אתה פותח את הארנק ורואה הרבה יהלומים נוצצים ומבריקים! במהירות, אתה סוגר אותו שוב כדי לא לאבד אף אחד.",
0,81,"You try, but being invisible makes it impossible.","אתה מנסה, אבל להיות בלתי נראה בלתי אפשרי כרגע.",
0,84,You're going to be sorry!!  These were magic beans!,אתה הולך להצטער!! אלה היו אפוני קסם!,
0,85,"That is not a bad idea, but this is not a very suitable place to plant these beans.  Why don't you try it elsewhere?","זה לא רעיון רע, אבל זה לא מקום הכי מתאים לשתול את האפונים האלה. למה שלא תנסה במקום אחר?",
0,88,The ring is already on your finger.,הטבעת כבר על האצבע שלך.,
0,89,You slip the beautiful ring on one of your fingers.,אתה מחליק את הטבעת היפה על אחת מהאצבעות שלך.,
0,90,"I don't know why, but you drop the magic ring.","אני לא יודע למה, אבל אתה מוריד את טבעת הקסם.",
0,91,Nothing happens.,שום דבר לא קורה.,
0,92,"When the ring disappears, you reappear!","כשהטבעת נעלמת, אתה מופיע שוב!",
