חדר,מקור,תרגום,הערות
max_num_of_animated,17,,אין לשנות שורה זו
0,?,?,
1,dagger,פגיון,
2,chest,תיבה,
3,carrot,גזר,
4,gold walnut,אגוז זהב,
5,key,מפתח,
6,note,פתק,
7,magic ring,טבעת קסמים,
8,fourleaf clover,תלתן ארבע עלים,
9,ceramic bowl,קערת קרמיקה,
10,full bowl,קערה מלאה אוכל,
11,water bucket,דלי ריק,
12,full bucket,דלי מלא,
13,pebbles,חלוקי נחל,
14,leather slingshot,קלע,
15,pouch of diamonds,כיס מלא יהלומים,
16,pouch,כיס,
17,sceptre,שרביט,
18,cheese,גבינה,
19,magic mirror,מראת קסם,
20,gold egg,ביצת זהב,
21,shield,מגן,
22,fiddle,כינור,
23,walnut,אגוז,
24,mushroom,פטרייה,
25,beans,שעועית,
