חדר,אינדקס,מקור,תרגום,הערות
0,1,%m10%w1?,,
0,2,%m10%w2?,,
0,3,%m10%w3?,,
0,4,%m10%w4?,,
0,5,%m10%w5?,,
0,6,%m10%w6?,,
0,7,%m10%w7?,,
0,8,%m10%w8?,,
0,9,Ok.,אוקי.,
0,10,What's a ,מה זה ,
0,11,\n     King's Quest III\n\n  Version 2.14  3/15/88   \n\n,,
0,12,The help screen won't work here. Try again elsewhere.,מסך העזרה לא יעבוד כאן. נסה שוב במקום אחר.,
0,13,"Thanks for playing King's Quest III... next time, be more careful!","תודה ששיחקת במסע המלך 3... בפעם הבאה, נסה להיות זהיר יותר!",
0,14,Since you're dead...\n\nall you can do is restore a saved game or start over.,משום שאתה מת...\n\nכל מה שאתה יכול לעשות זה לטעון משחק שמור או להתחיל מחדש.,
0,15,Ick! You're slimy!,איכס! אתה חלקלק!,
0,16,Al Lowe & Bob Heitman.,אל לאו ובוב הייטמן,
0,17,"%v118 days, %m18","%v118 ימים, %m18",
0,18,"%v117 hours, %m19","%v117 שעות, %m19",
0,19,%v116 minutes and %v115 seconds.,%v116 דקות ו- %v115 שניות.,
0,20,Your magic spell is wearing off!,הכישוף שלך מתפוגג!,
0,22,The stone won't work here.,האבן לא תעבוד כאן.,
0,23,"You purr contentedly, enjoying your new life as a cat!",אתה מגרגר בשביעות רצון. נהנה מחייך החדשים כחתול!,
0,24,You've broken the spell of invisibility.,שברת את כישוף ההיעלמות.,
0,25,You might need it.,אולי תזדקק לזה.,
0,26,"""Hi.""","""היי.""",
0,27,You can't do that now.,אתה לא יכול לעשות זאת עכשיו.,
0,28,"""You're welcome.""","""על לא דבר.""",
0,29,"Obviously, you were raised by a naughty wizard!","הרי זה מובן, גודלת על ידי מכשף שובב!",
0,30,%v117:%v116|2:%v115|2 ,,
0,31,"If you've seen one rock, you've seen them all.","אם ראית סלע אחד, ראית את כולם.",
0,32,Shhhh. (You're flying!),שששש. (אתה עף!),
0,33,Buzzzzzz.,בזזזזזז.,
0,34,They're not hungry.,הם לא רעבים.,
0,35,The porridge conceals the crumbled cookie; it still looks as appetizing as ever.,הדייסה מסוה את העוגיה המפוררת; היא עדיין נראית מעוררת תיאבון כתמיד.,
0,36,Oops. Bad move!,אופס. מהלך גרוע!,
0,37,"Ok, some cat hair sticks to your teeth.","אוקי, קצת שיער חתול נדבק לך לשיניים.",
0,38,Mandrake root powder might be a little poisonous!,אבקת שורש הדודא עלולה להיות קצת רעילה!,
0,39,"""This tastes pretty good,"" you think. You'd eat more, but you're too busy dying.","""יש לזה טעם לא רע בכלל,"" אתה חושב. היית אוכל עוד, אבל אתה עסוק מדי בגסיסה למוות.",
0,40,You don't need to... now.,אתה לא צריך... כרגע.,
0,41,"Funny, no response.","משעשע, אין תגובה.",
0,42,It doesn't look interesting.,זה לא נראה מעניין.,
0,43,You see nothing special.,אתה לא רואה משהו מיוחד.,
0,44,It's just as it appears.,זה בדיוק כפי שזה נראה.,
0,45,How can you do that?,איך אתה יכול לעשות זאת?,
0,46,It's of no use.,אין לזה כל שימוש.,
0,47,You don't need it.,אתה לא צריך את זה.,
0,48,There's no reason to take it.,אין שום סיבה לקחת את זה.,
0,49,Just walk there.,פשוט לך לשם.,
0,50,You're not that cruel.,אתה לא כזה אכזר.,
0,51,%m53?,,
0,52,%m53 %w3?,,
0,53,What would you do with the %w2,מה תעשה עם %w2,
0,54,How can you use that which you do not have?,איך אתה יכול להשתמש במשהו שאין לך?,
0,55,You can eat the ,אתה יכול לאכול את ה,
0,56,%m9 It tastes bitter!,%m9 יש לזה טעם מר!,
0,57,You don't need to put the %w2 in the bowl.,אתה לא צריך לשים את ה%w2 בתוך הקערה.,
0,58,Nothing here fits your key.,שום דבר כאן לא תואם למפתח שלך.,
0,59,%m55mutton without carving it.,%m55בשר בלי לחתוך.,
0,60,%m55fruit without cutting it.,%m55פירות בלי לחתוך.,
0,61,%m55bread without slicing it.,%m55לחם בלי לחתוך.,
0,62,Mmmm! Mama Bear makes great porridge!,מממ! אמא-דובה מכינה דייסה נהדרת!,
0,63,,,
0,64,,,
0,65,%m68 that requires a spoon.,%m68 זה דורש כף.,
0,66,%m68.,,
0,67,"Once you tasted it, you wouldn't want it!","אם היית טועם את זה, לא היית רוצה את זה!",
0,68,You have no food,אין לך אוכל,
0,69,You can't dig here.,אתה לא יכול לחפור כאן.,
0,70,They don't want it.,הם לא רוצים את זה.,
0,71,The thought turns your stomach!,המחשבות הופכות לך את הבטן!,
0,72,Where!?,איפה!?,
0,73,Your cup is empty.,הכוס שלך ריקה.,
0,74,Perhaps your magic would be more effective outside.,אולי הקסם שלך יהיה יותר יעיל בחוץ.,
0,75,There is no need to put it in the cup.,אין צורך לשים את זה בכוס.,
0,76,You have no need to take it.,אין לך צורך לקחת את זה.,
0,77,%v0|3,,
0,78,%m9 It tastes terrible!,%m9 יש לזה טעם נורא!,
0,79,You ARE swimming.,אתה כבר שוחה.,
0,80,"%m78 You spit it out, spilling the rest on the ground.","%m78 אתה יורק את זה, ושופך את השאר על האדמה.",
0,81,"The shrubbery is nice, but you have better things to do.","השיחים נחמדים, אבל יש לך דברים יותר חשובים לעשות.",
0,82,%m9 Nothing happens.,%m9 לא קורה דבר.,
